Trap,Latitude,Longitude,Date,Species,WnvPresent,year,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
T001,41.953705,-87.733974,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T002,41.95469,-87.800991,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T002,41.95469,-87.800991,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T002,41.95469,-87.800991,2007-06-26,CULEX SALINARIUS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T003,41.964242,-87.757639,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T006,41.990284,-87.797127,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T006,41.990284,-87.797127,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T007,41.994991,-87.769279,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T007,41.994991,-87.769279,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T008,42.008314,-87.77792099999999,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T011,41.944869,-87.832763,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T011,41.944869,-87.832763,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T012,41.991429,-87.747113,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T015,41.974089,-87.824812,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T016,42.011601,-87.81150600000001,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T016,42.011601,-87.81150600000001,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T019,41.94983,-87.69845699999999,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T025,41.979243,-87.750938,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T028,41.986921,-87.689778,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T028,41.986921,-87.689778,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T033,41.906638,-87.701431,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T033,41.906638,-87.701431,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T034,41.843810999999995,-87.686763,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T037,41.921177,-87.79518,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T040,41.852652,-87.719887,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T040,41.852652,-87.719887,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T043,41.857402,-87.694991,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T045,41.9216,-87.666455,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T045,41.9216,-87.666455,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T046,41.891118,-87.65449100000001,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T046,41.891118,-87.65449100000001,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T047,41.868142,-87.696269,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T047,41.868142,-87.696269,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T048,41.867108,-87.654224,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
